stop_name,bus_boardings,integration_index,neighborhood
BESSEMER AVE AT MAIN ST,50.0,0.0,Unknown
BIGELOW BLVD AT BLOOMFIELD BRDGE FS,50.0,0.0,Polish Hill
BIGELOW BLVD AT HERRON AVE FS,50.0,0.0,Polish Hill
BIGELOW BLVD AT HERRON AVE FS,140.0,0.0,Polish Hill
BIGELOW BLVD OPP BLOOMFIELD BRIDGE,50.0,0.0,Polish Hill
BLACK ST AT NEGLEY AVE,240.0,0.0,Garfield
BLACK ST AT CHISLETT ST,50.0,0.0,East Liberty
BLVD OF ALLIES AT DUQUESNE UNIV FOOTBRIDGE,100.0,0.0,Bluff
BLVD OF ALLIES AT MARION ST (MERCY HOSP),50.0,0.0,Bluff
BOYCE CAMPUS EAST PKG LOT AT STEPS,710.0,0.0,Unknown
BRADDOCK AVE AT 4TH ST,50.0,0.0,Unknown
BRADDOCK AVE AT 4TH ST,50.0,0.0,Unknown
BRADDOCK AVE AT 7TH ST,380.0,0.0,Unknown
BRADDOCK AVE AT COREY AVE,240.0,0.0,Unknown
BRADDOCK AVE AT LINE AVE,50.0,0.0,Unknown
BRADDOCK AVE OPP LINE AVE,50.0,0.0,Unknown
BRADDOCK AVE AT PENN AVE,100.0,0.0,Unknown
BRADDOCK AVE OPP ELECTRIC AVE,50.0,0.0,Unknown
BRADDOCK AVE AT TURTLE CRK MENTAL HEALTH CTR,430.0,0.0,Unknown
BRADDOCK HILLS SHPG CTR AT PROPEL SCHOOL,1950.0,0.0,Unknown
BRADDOCK HILLS SHPG CTR AT GIANT EAGLE,3620.0,0.0,Unknown
BRINTON AVE AT TERRACE ST,50.0,0.0,Unknown
BRINTON AVE AT SHERIDAN ST,190.0,0.0,Unknown
BRINTON RD OPP BRINTON MANOR DR FS,100.0,0.0,Unknown
BRINTON RD AT FAIRFAX RD,50.0,0.0,Unknown
WOLFE AVE OPP MARY ST,140.0,0.0,Unknown
BRINTON RD OPP #1584,50.0,0.0,Unknown
BROADWAY BLVD AT WALL AVE,100.0,0.0,Unknown
BROADWAY BLVD AT BROADVIEW MANOR HI-RISE,100.0,0.0,Unknown
BROADWAY BLVD OPP WALL AVE,140.0,0.0,Unknown
BROADWAY BLVD AT PITCAIRN PARK BLDG,50.0,0.0,Unknown
BROADWAY BLVD OPP BROADVIEW MANOR HI-RISE,190.0,0.0,Unknown
BROWNS HILL RD AT IMOGENE RD,240.0,0.0,Hazelwood
BROWNS HILL RD AT PARKVIEW BLVD FS,860.0,0.0,Squirrel Hill South
BROWNS HILL RD OPP IMOGENE RD,290.0,0.0,Squirrel Hill South
BROWNS HILL RD OPP PARKVIEW BLVD,1050.0,0.0,Squirrel Hill South
BUNKERHILL ST OPP ST CLAIR ST,140.0,0.0,Highland Park
BUTLER ST AT 35TH ST,100.0,10.040126143477918,Lower Lawrenceville
BUTLER ST AT 36TH ST,100.0,15.576136159789295,Lower Lawrenceville
BUTLER ST AT 37TH ST,50.0,2.480184574325193,Lower Lawrenceville
BUTLER ST AT 37TH ST,50.0,3.0796995972218015,Lower Lawrenceville
BUTLER ST AT 39TH ST,240.0,6.218199170971668,Lower Lawrenceville
BUTLER ST AT 39TH ST,100.0,2.6611507037003355,Lower Lawrenceville
BUTLER ST AT 40TH ST NS,190.0,4.770354955505758,Lower Lawrenceville
BUTLER ST AT 41ST ST,190.0,12.945087145030758,Central Lawrenceville
BUTLER ST AT 43RD ST,100.0,12.938352095025893,Central Lawrenceville
BUTLER ST AT 43RD ST,380.0,102.7378228196513,Central Lawrenceville
BUTLER ST AT 44TH ST,100.0,5.0551021804864185,Central Lawrenceville
BUTLER ST AT 44TH ST,50.0,3.0867080752300717,Central Lawrenceville
BUTLER ST AT 46TH ST,100.0,2.4314954664390585,Central Lawrenceville
BUTLER ST AT 46TH ST,140.0,3.6015451007913164,Central Lawrenceville
BUTLER ST AT 48TH ST,190.0,0.0,Central Lawrenceville
BUTLER ST AT 49TH ST,100.0,0.0,Central Lawrenceville
BUTLER ST AT 51ST ST (STANTON AVE),140.0,4.487115477843826,Upper Lawrenceville
BUTLER ST AT 52ND ST,330.0,109.37455090543735,Upper Lawrenceville
BUTLER ST AT 52ND ST,570.0,132.82409279384947,Upper Lawrenceville
BUTLER ST AT 54TH ST,140.0,2.455226968197142,Upper Lawrenceville
BUTLER ST AT 54TH ST,100.0,1.8170092518860073,Upper Lawrenceville
BUTLER ST AT 55TH ST,570.0,0.0,Upper Lawrenceville
BUTLER ST AT 55TH ST,100.0,0.0,Upper Lawrenceville
BUTLER ST AT 56TH ST,290.0,0.0,Upper Lawrenceville
BUTLER ST AT 56TH ST,190.0,0.0,Upper Lawrenceville
BUTLER ST AT 57TH ST,100.0,0.0,Upper Lawrenceville
BUTLER ST AT #6130,140.0,0.0,Stanton Heights
BUTLER ST AT 47TH ST,50.0,0.0,Central Lawrenceville
BUTLER ST AT MAIN ST,50.0,4.669116180293144,Central Lawrenceville
BUTLER ST AT MCCANDLESS AVE,50.0,2.539139259810487,Upper Lawrenceville
BUTLER ST AT PENN AVE,190.0,10.217661992227448,Lower Lawrenceville
BUTLER ST AT PENN AVE FS,240.0,11.803866569746921,Lower Lawrenceville
BUTLER ST OPP 50TH ST (STANTON AVE),100.0,2.3083808216846626,Central Lawrenceville
BUTLER ST OPP 47TH ST,140.0,0.0,Central Lawrenceville
CAMP ST AT BRYN MAWR RD,140.0,0.0,Upper Hill
CENTER RD OPP HELMAR DR FS,50.0,0.0,Unknown
CENTRE AVE AT AIKEN AVE,1430.0,29.203461886778147,Bloomfield
CENTRE AVE AT AIKEN AVE,430.0,0.0,Shadyside
CENTRE AVE AT ALLEQUIPPA ST,1290.0,32.56969673468986,Terrace Village
CENTRE AVE AT LOGAN ST FS,190.0,0.0,Crawford-Roberts
CENTRE AVE AT AVALON ST,140.0,0.0,Terrace Village
CENTRE AVE AT CHAUNCEY ST,330.0,0.0,Middle Hill
CENTRE AVE AT CRAIG ST,330.0,32.9419000023006,North Oakland
CENTRE AVE AT CRAIG ST NS,760.0,50.15864682329585,North Oakland
CENTRE AVE AT CRAWFORD ST,240.0,0.0,Crawford-Roberts
CENTRE AVE AT CYPRESS ST,520.0,0.0,Bloomfield
CENTRE AVE AT DINWIDDIE ST,3240.0,230.97494127064104,Crawford-Roberts
CENTRE AVE AT DEVILLIERS ST,1190.0,53.09928556208994,Middle Hill
CENTRE AVE AT DITHRIDGE ST,570.0,138.21687877273266,North Oakland
CENTRE AVE AT ELMORE ST,670.0,46.95494085178866,Middle Hill
CENTRE AVE AT ELMORE ST FS,670.0,42.93763998894032,Middle Hill
CENTRE AVE AT ERIN ST,1330.0,226.1243584084139,Middle Hill
CENTRE AVE AT EWART DR,50.0,0.0,Upper Hill
CENTRE AVE AT FRANCIS ST,810.0,0.0,Middle Hill
CENTRE AVE AT GRAHAM ST,1430.0,56.41851598948284,Friendship
CENTRE AVE AT GRAHAM ST,620.0,22.21044559332795,Shadyside
CENTRE AVE AT HELDMAN ST,100.0,6.931670998799577,Crawford-Roberts
CENTRE AVE AT HELDMAN ST,190.0,11.191621636355533,Crawford-Roberts
CENTRE AVE AT HERRON AVE,100.0,0.0,Upper Hill
CENTRE AVE AT JUNILLA ST STEPS,100.0,0.0,Middle Hill
CENTRE AVE AT KIRKPATRICK ST,140.0,3.722120678049129,Middle Hill
CENTRE AVE AT KIRKPATRICK ST,240.0,7.817725792683086,Middle Hill
CENTRE AVE AT MELWOOD AVE,710.0,27.559364822947487,North Oakland
CENTRE AVE AT MELWOOD AVE,290.0,12.877019688778459,North Oakland
CENTRE AVE AT MILLER ST,810.0,19.10745861557752,Crawford-Roberts
CENTRE AVE AT MILLVALE AVE,330.0,48.16445757023176,Bloomfield
CENTRE AVE AT MOREWOOD AVE,100.0,2.466152506564429,Bloomfield
CENTRE AVE AT MOREWOOD AVE,100.0,2.6312751929775664,Shadyside
CENTRE AVE AT MORGAN ST,760.0,0.0,Terrace Village
CENTRE AVE AT NEGLEY AVE,2330.0,458.54659602288325,East Liberty
CENTRE AVE AT NEVILLE ST,140.0,6.289284186559835,North Oakland
CENTRE AVE AT PROTECTORY PL,430.0,7.701976931815774,Crawford-Roberts
CENTRE AVE AT REED ST,50.0,0.0,Middle Hill
CENTRE AVE AT ROBERTS ST,330.0,13.271907435635866,Crawford-Roberts
CENTRE AVE AT SHADYSIDE HOSPITAL,290.0,0.0,Shadyside
CENTRE AVE AT SOHO ST,190.0,2.7452556100998047,Middle Hill
CENTRE AVE AT NEGLEY AVE (MARKET DISTRICT),4050.0,719.7596853117278,Shadyside
CENTRE AVE AT SOHO ST,190.0,2.951526790637872,Middle Hill
CENTRE AVE AT WATT ST,100.0,0.0,Middle Hill
CENTRE AVE OPP ALLEQUIPPA ST,290.0,7.339658891374218,Upper Hill
CENTRE AVE OPP BRYN MAWR RD,140.0,0.0,North Oakland
CENTRE AVE OPP CYPRESS ST,380.0,0.0,Shadyside
CENTRE AVE AT ADDISON ST,1140.0,178.69402073379084,Middle Hill
CENTRE AVE AT S EUCLID AVE,140.0,2.630352810736845,East Liberty
CENTRE AVE OPP FRANCIS ST,670.0,0.0,Terrace Village
CENTRE AVE AT ROBINSON ST EXT,100.0,0.0,Terrace Village
CENTRE AVE OPP MILLVALE AVE,240.0,79.37910124091452,Shadyside
CENTRE AVE OPP MORGAN ST,620.0,0.0,Middle Hill
CENTRE AVE OPP NEVILLE ST,670.0,35.85906541952446,Bloomfield
CENTRE AVE OPP SHADYSIDE HOSPITAL,380.0,0.0,Bloomfield
CENTRE AVE OPP WATT ST,380.0,0.0,Terrace Village
CHISLETT ST AT HAMPTON ST,50.0,0.0,Morningside
CHISLETT ST AT VILLANOVA RD,50.0,0.0,Morningside
COAL ST OPP HUTCHINSON AVE,50.0,0.0,Unknown
COREY AVE AT BRADDOCK AVE,190.0,0.0,Unknown
COREY AVE AT MARGARETTA ST,50.0,0.0,Unknown
CRAIG ST AT FIFTH AVE,900.0,45.18662132590587,North Oakland
CRAIG ST AT BAUM BLVD FS,100.0,2.963266100003201,North Oakland
CRAIG ST AT BAYARD ST,950.0,36.47521906264799,North Oakland
CRAIG ST AT BAYARD ST,380.0,12.750057598684508,North Oakland
CRAIG ST OPP BIGELOW BLVD,190.0,0.0,North Oakland
CRAIG ST AT CENTRE AVE,1810.0,140.01209358553808,North Oakland
CRAIG ST AT PARK PLAZA,430.0,20.548885641119906,North Oakland
EAST LIBERTY BLVD AT BROAD ST,140.0,0.0,East Liberty
EAST LIBERTY BLVD AT DAHLEM PL,100.0,2.9541235966148034,Larimer
EAST LIBERTY BLVD AT FRANKSTOWN AVE,670.0,0.0,Larimer
EAST LIBERTY BLVD AT HAMILTON AVE,50.0,0.0,Larimer
EAST LIBERTY BLVD AT PENN AVE,100.0,2.8055367968889002,East Liberty
FIFTH AVE RAMP AT FIFTH AVE FS,760.0,31.900291742101746,Larimer
DARRAGH ST OPP VICTORIA ST,50.0,1.995576744043454,West Oakland
DEAN ST AT PAULSON AVE,50.0,0.0,Lincoln-Lemington-Belmar
DEVILLIERS ST AT WEBSTER AVE,140.0,3.5558926464052925,Middle Hill
DEVILLIERS ST AT WYLIE AVE,50.0,2.13933865128231,Middle Hill
DEVILLIERS ST AT WYLIE AVE,50.0,2.1572988198637715,Crawford-Roberts
DOBSON ST AT HERRON AVE,290.0,0.0,Polish Hill
DYNAMO WAY AT BEECH ST,100.0,0.0,Unknown
EAST BUSWAY AT HAMNETT STATION C,140.0,0.0,Unknown
EAST BUSWAY AT HAMNETT STATION A,50.0,0.0,Unknown
EAST BUSWAY AT HAY ST RAMP INBOUND SHELTER,50.0,0.0,Unknown
EAST BUSWAY AT HAY ST RAMP OUTBOUND SHELTER,380.0,0.0,Unknown
EAST BUSWAY AT ROSLYN STATION C,710.0,0.0,Unknown
EAST BUSWAY AT ROSLYN STATION A,480.0,0.0,Unknown
EAST BUSWAY AT SWISSVALE STATION A,4140.0,0.0,Unknown
EAST BUSWAY AT EAST LIBERTY STATION D,190.0,18.57006732929673,Shadyside
EAST BUSWAY AT WILKINSBURG STATION B,1140.0,130.56337291944104,Unknown
EAST BUSWAY AT HOMEWOOD STATION D,100.0,3.043393149005444,Homewood South
EAST BUSWAY AT WILKINSBURG STATION C,1670.0,204.97027460695426,Unknown
EAST BUSWAY AT WILKINSBURG STATION A,1710.0,138.1644241302337,Unknown
EAST BUSWAY AT HOMEWOOD STATION C,1380.0,38.18706828517293,Homewood South
EAST BUSWAY AT HOMEWOOD STATION A,1240.0,36.37193269672373,Homewood South
EAST BUSWAY AT EAST LIBERTY STATION C,2430.0,182.51493593481354,Shadyside
EAST BUSWAY AT EAST LIBERTY STATION A,2620.0,371.37245983194435,Shadyside
EAST BUSWAY AT NEGLEY STATION C,810.0,122.8795988475168,Shadyside
EAST BUSWAY AT NEGLEY STATION A,950.0,399.54166258656005,Shadyside
EAST BUSWAY AT HERRON STATION C,50.0,1.2350722066698225,Polish Hill
EAST BUSWAY AT EAST LIBERTY STATION B,190.0,14.464920640632432,Shadyside
EAST BUSWAY AT HOMEWOOD STATION B,100.0,2.5950306474119307,Homewood South
EAST BUSWAY AT GARAGE EMPLOYEES ONLY STOP,100.0,3.7511534191872418,Larimer
EAST BUSWAY AT WILKINSBURG STATION D,1710.0,142.8356077983558,Unknown
EAST LIBERTY BLVD AT HIGHLAND AVE FS,140.0,0.0,East Liberty
EAST LIBERTY BLVD AT CENTRE AVE,710.0,0.0,East Liberty
ECKSTEIN PL AT WADSWORTH ST,620.0,17.488415538539527,Terrace Village
ECKSTEIN PL AT WADSWORTH ST FS,950.0,26.24420225889146,Terrace Village
EDGEWOOD AVE AT ELM ST FS,50.0,0.0,Unknown
EDGEWOOD AVE OPP ELM ST,50.0,0.0,Unknown
EDGEWOOD AVE OPP LACROSSE AVE,50.0,0.0,Unknown
EDGEWOOD AVE AT SAILOR PL FS,50.0,0.0,Unknown
EDGEWOOD TOWNE CENTRE AT DOLLAR TREE,290.0,0.0,Unknown
EDGEWOOD TOWNE CENTRE AT GIANT EAGLE FS,290.0,0.0,Unknown
ELECTRIC AVE OPP DYNAMO WAY,50.0,0.0,Unknown
ELLA ST AT LIBERTY AVE,190.0,15.428892779997577,Bloomfield
ELLSWORTH AVE AT AIKEN AVE,290.0,5.407035105359532,Shadyside
ELLSWORTH AVE AT AIKEN AVE,240.0,4.329878747039887,Shadyside
ELLSWORTH AVE AT AMBERSON AVE,50.0,0.0,Shadyside
ELLSWORTH AVE AT FILBERT ST,50.0,1.5503517501061963,Shadyside
ELLSWORTH AVE AT MARYLAND AVE,100.0,5.206574409941326,Shadyside
ELLSWORTH AVE AT NEGLEY AVE,50.0,2.841225961708003,Shadyside
ELLSWORTH AVE AT NEGLEY AVE,50.0,2.4777936045113593,Shadyside
EUCLID AVE AT BUNKERHILL ST,50.0,0.0,Highland Park
EUCLID AVE AT CALLOWHILL ST,100.0,0.0,Highland Park
FORBES AVE AT ATWOOD ST,1620.0,140.6180804547703,Central Oakland
FORBES AVE AT BEECHWOOD BLVD,50.0,0.0,Squirrel Hill South
FORBES AVE AT BEELER ST,190.0,0.0,Squirrel Hill North
FORBES AVE AT BOUQUET ST FS,50.0,8.11977298221915,Central Oakland
FORBES AVE AT BOYD ST (DUQUESNE UNIV),760.0,19.288024674011055,Bluff
FORBES AVE AT BRADDOCK AVE FS,100.0,0.0,Point Breeze
FORBES AVE AT CRAFT AVE FS,950.0,28.22177802729387,South Oakland
FORBES AVE AT CRAIG ST,240.0,24.13916658303779,North Oakland
FORBES AVE AT DALLAS AVE,50.0,0.0,Point Breeze
FORBES AVE AT SHADY AVE,240.0,0.0,Squirrel Hill North
FORBES AVE AT DENNISTON ST,380.0,0.0,Squirrel Hill South
FORBES AVE AT DITHRIDGE ST,380.0,25.96469242883203,North Oakland
FORBES AVE AT GIST ST,140.0,0.0,Bluff
FORBES AVE AT HALKET ST (MAGEE HOSPITAL),1050.0,73.28441171148432,South Oakland
FORBES AVE AT MCANULTY DR,710.0,0.0,Bluff
FORBES AVE AT JUMONVILLE ST,240.0,0.0,Bluff
FORBES AVE AT MAGEE ST,50.0,0.0,Bluff
FORBES AVE AT MARGARET MORRISON ST NS,50.0,0.0,Squirrel Hill North
FORBES AVE AT MCKEE PL,330.0,32.87236536380913,Central Oakland
FORBES AVE AT MEYRAN AVE,140.0,7.788446387527645,Central Oakland
FORBES AVE AT MILTENBERGER ST,290.0,0.0,Bluff
FORBES AVE AT OAKLAND AVE,330.0,37.41231900272074,Central Oakland
FORBES AVE PAST MOREWOOD AVE (,620.0,14.529791925322444,Squirrel Hill North
FORBES AVE AT MOULTRIE ST,140.0,0.0,Bluff
FORBES AVE AT MURDOCH ST,50.0,0.0,Squirrel Hill North
FORBES AVE AT MURDOCH ST,50.0,0.0,Squirrel Hill South
FORBES AVE AT MURRAY AVE FS,1520.0,0.0,Squirrel Hill North
FORBES AVE AT MURRAY AVE,1100.0,0.0,Squirrel Hill South
FORBES AVE AT NORTHUMBERLAND ST FS,50.0,0.0,Squirrel Hill North
FORBES AVE AT PLAINFIELD ST,50.0,0.0,Squirrel Hill North
FORBES AVE AT PRIDE ST (MERCY HOSPITAL),1240.0,0.0,Bluff
FORBES AVE AT SENECA ST,100.0,0.0,Bluff
FORBES AVE AT SHADY AVE,290.0,0.0,Squirrel Hill South
FORBES AVE AT STEVENSON ST,140.0,0.0,Bluff
FORBES AVE AT VAN BRAAM ST,290.0,0.0,Bluff
FORBES AVE AT WIGHTMAN ST,50.0,0.0,Squirrel Hill North
FORBES AVE AT WIGHTMAN ST,240.0,0.0,Squirrel Hill South
FORBES AVE OPP BEELER ST,100.0,0.0,Squirrel Hill North
FORBES AVE OPP BELLEFIELD AVE NS,810.0,64.01949834962532,North Oakland
FORBES AVE OPP CRAIG ST,290.0,20.210034143594637,North Oakland
FORBES AVE OPP MARGARET MORRISON ST,290.0,0.0,Squirrel Hill North
FORBES AVE OPP MOREWOOD AVE (CARNEGIE MELLON),290.0,0.0,Squirrel Hill North
FRANKSTOWN AVE AT 5TH AVE,140.0,4.025637671135352,Larimer
FRANKSTOWN AVE AT BENNETT ST FS,240.0,0.0,Homewood West
FRANKSTOWN AVE AT BRADDOCK AVE,100.0,1.562920268532466,Homewood North
FRANKSTOWN AVE AT BRADDOCK AVE,100.0,1.637853270683923,Homewood South
FRANKSTOWN AVE AT BRUSHTON AVE,190.0,2.372352776505354,Homewood North
FRANKSTOWN AVE AT BRUSHTON AVE,100.0,1.3239473690939576,Homewood South
FRANKSTOWN AVE AT COLLIER ST,100.0,1.5077359510114268,Homewood North
FRANKSTOWN AVE AT COLLIER ST,100.0,1.4731791852319942,Homewood South
FRANKSTOWN AVE AT EAST VIEW ST,50.0,0.0,Homewood West
FRANKSTOWN AVE AT FINLEY ST NS,50.0,1.8788068619249565,Larimer
FRANKSTOWN AVE AT HOMEWOOD AVE,860.0,38.387164589587016,Homewood South
FRANKSTOWN AVE AT HOMEWOOD HOUSE,380.0,23.41258827423197,Homewood South
FRANKSTOWN AVE AT JULIUS ST,100.0,2.3487096812156034,Larimer
FRANKSTOWN AVE AT LANG AVE NS,480.0,15.71053782849124,Homewood North
FRANKSTOWN AVE AT LANG AVE,140.0,3.8094608069586116,Homewood South
FRANKSTOWN AVE AT LINCOLN AVE,190.0,0.0,Larimer
FRANKSTOWN AVE AT MURTLAND ST,140.0,1.7184342824586716,Homewood North
FRANKSTOWN AVE AT MURTLAND ST,480.0,5.3987108381802775,Homewood West
FRANKSTOWN AVE AT OAKWOOD ST,380.0,0.0,Homewood South
FRANKSTOWN RD AT OVERBROOK RD,380.0,0.0,Unknown
FRANKSTOWN AVE AT PAULSON AVE,50.0,0.0,Larimer
FRANKSTOWN RD AT ROBINSON BLVD NS,100.0,0.0,Unknown
FRANKSTOWN RD AT EYMARD ST FS,140.0,0.0,East Hills
FRANKSTOWN AVE AT STERRETT ST,190.0,2.5758259594757837,Homewood North
FRANKSTOWN AVE AT STERRETT ST,100.0,1.4817590105516387,Homewood South
FRANKSTOWN AVE AT WASHINGTON BLVD,50.0,1.2331990632576257,Homewood West
FRANKSTOWN AVE AT WILKINSBURG AVE FS,50.0,0.0,East Hills
FRANKSTOWN RD AT WOODS RD,190.0,0.0,Unknown
FRANKSTOWN RD OPP WOODS RD,50.0,0.0,East Hills
FRANKSTOWN AVE OPP LINCOLN AVE,140.0,0.0,Larimer
FRANKSTOWN AVE OPP OAKWOOD ST,190.0,0.0,Homewood North
FRANKSTOWN AVE AT LAWNDALE ST,100.0,0.0,Homewood North
FRANKSTOWN RD AT 1ST REFORMED CHURCH,50.0,0.0,Unknown
FRANKSTOWN RD OPP BON AIR RD,50.0,0.0,Unknown
FRANKSTOWN RD AT DUFF RD FS,330.0,0.0,Unknown
FRANKSTOWN RD AT MCCLUTCHEON LN,50.0,0.0,Unknown
FRANKSTOWN RD AT RITZLAND RD,50.0,0.0,Unknown
FRANKSTOWN RD AT ROBINSON BLVD FS,50.0,0.0,Unknown
FRANKSTOWN RD OPP DUFF RD,100.0,0.0,Unknown
FRANKSTOWN RD AT PENN ARBORS DR FS,290.0,0.0,Unknown
FRANKSTOWN RD OPP RODI RD,50.0,0.0,Unknown
FRANKSTOWN RD AT SHENANDOAH DR,50.0,0.0,Unknown
FRIENDSHIP AVE AT AIKEN AVE,140.0,2.819835817697402,Bloomfield
FRIENDSHIP AVE AT AIKEN AVE,100.0,2.127198959787415,Bloomfield
FRIENDSHIP AVE AT ATLANTIC AVE,190.0,5.082048248806591,Bloomfield
FRIENDSHIP AVE AT EDMOND ST,50.0,1.2578884650399722,Bloomfield
FRIENDSHIP AVE AT FAIRMOUNT ST,50.0,0.0,Friendship
FRIENDSHIP AVE AT GRAHAM ST,100.0,0.0,Bloomfield
FRIENDSHIP AVE AT GROSS ST,50.0,1.4329606813994278,Bloomfield
FRIENDSHIP AVE AT MILLVALE AVE,100.0,2.528806660063598,Bloomfield
FRIENDSHIP AVE AT MILLVALE AVE,50.0,1.4355052772834864,Bloomfield
FRIENDSHIP AVE AT NEGLEY AVE,50.0,0.0,Friendship
FRIENDSHIP AVE AT PEARL ST,50.0,1.8206360856039112,Bloomfield
FRIENDSHIP AVE AT PEARL ST,50.0,2.0453665537960086,Bloomfield
FRIENDSHIP AVE AT EDMOND ST,50.0,1.3412371716336005,Bloomfield
GRANDVIEW AVE AT BESSEMER AVE NS,100.0,0.0,Unknown
GREENFIELD AVE AT IRVINE ST,100.0,5.361018185936114,Hazelwood
GREENFIELD AVE AT SECOND AVE,190.0,12.732418191632194,Hazelwood
GREENFIELD AVE AT LYDIA ST,50.0,0.0,Greenfield
GREENFIELD AVE AT LORETTA ST,140.0,0.0,Greenfield
GREENFIELD AVE AT WINTERBURN AVE FS,100.0,0.0,Greenfield
GREENFIELD AVE AT WINDSOR ST FS,50.0,0.0,Greenfield
GREENFIELD AVE AT IRVINE ST FS,50.0,2.064987048848661,Hazelwood
GREENFIELD AVE AT KEARCHER ST,100.0,0.0,Greenfield
GREENFIELD AVE OPP KEARCHER ST,100.0,0.0,Greenfield
GREENFIELD AVE AT HOOSAC ST FS,50.0,0.0,Greenfield
HAMILTON AVE AT FIFTH AVE,100.0,3.696912746947848,Homewood West
HAMILTON AVE AT BRADDOCK AVE,140.0,14.134360162309905,Homewood South
HAMILTON AVE AT BRADDOCK AVE,50.0,12.142378308334102,Homewood South
HAMILTON AVE AT BRUSHTON AVE,50.0,1.111025969840084,Homewood South
HAMILTON AVE AT BRUSHTON AVE,50.0,1.3389416026736005,Homewood South
HAMILTON AVE AT COLLIER ST,50.0,1.5176280607340527,Homewood South
HAMILTON AVE AT DALLAS AVE,50.0,0.0,Homewood West
HAMILTON AVE AT HOMEWOOD AVE,140.0,21.060437850209027,Homewood South
HAMILTON AVE AT HOMEWOOD AVE,140.0,20.843824515727327,Homewood South
HAMILTON AVE AT JULIUS ST,50.0,1.663471194726518,Larimer
HAMILTON AVE AT LANG AVE,100.0,2.8132449471743617,Homewood South
HAMILTON AVE AT LANG AVE,100.0,2.491071473921588,Homewood South
HAMILTON AVE AT MURTLAND ST,50.0,0.0,Homewood West
HARRIET ST OPP BLDG #2,50.0,0.0,Unknown
HAWKINS AVE AT 4TH ST,570.0,0.0,Unknown
HAWKINS AVE AT 4TH ST,570.0,0.0,Unknown
HAWKINS AVE AT MIDDLE ST,100.0,0.0,Unknown
HAWKINS AVE OPP OVERLAND ST,50.0,0.0,Unknown
RANKIN BLVD AT HAWKINS AVE,570.0,0.0,Unknown
HAWKINS AVE AT #552,140.0,0.0,Unknown
HAY ST AT PENN AVE,140.0,2.1168759875140655,Unknown
HAZELWOOD AVE OPP GREENFIELD AVE,50.0,0.0,Greenfield
HERRON AVE AT HANCOCK ST,330.0,0.0,Polish Hill
HERRON AVE AT LIBERTY AVE,50.0,2.6277824408522266,Lower Lawrenceville
HIGHLAND AVE AT ALDER ST,50.0,1.0599458644996778,Shadyside
HIGHLAND AVE AT EAST LIBERTY BLVD,50.0,0.0,East Liberty
HIGHLAND AVE AT EAST LIBERTY BLVD,240.0,0.0,East Liberty
HIGHLAND AVE AT HAYS ST,140.0,0.0,East Liberty
HIGHLAND AVE AT JACKSON ST,50.0,0.0,Highland Park
HIGHLAND AVE AT PENN AVE,290.0,25.838875324492438,East Liberty
HIGHLAND AVE AT STATION ST,50.0,1.3999321814180892,East Liberty
HIGHLAND AVE OPP BAUM BLVD,100.0,5.537565837873778,East Liberty
HIGHLAND AVE OPP ELWOOD ST,50.0,0.0,Shadyside
HIGHLAND AVE AT STANTON AVE,330.0,0.0,Highland Park
HIGHLAND AVE AT STANTON AVE,240.0,0.0,East Liberty
HIGHLAND AVE AT VINTAGE SENIOR CITIZEN CTR,290.0,0.0,East Liberty
HIGHLAND AVE OPP HAYS ST,240.0,0.0,East Liberty
HILLCREST ST AT AIKEN AVE,50.0,3.788792799658659,Garfield
HOMEWOOD AVE AT BENNETT ST,50.0,3.7495668554986126,Homewood South
HOMEWOOD AVE AT FINANCE ST (EAST BUSWAY),100.0,3.404965116161102,Homewood South
HOMEWOOD AVE AT FRANKSTOWN AVE,100.0,4.045425492701324,Homewood North
HOMEWOOD AVE AT HAMILTON AVE,50.0,10.790713609942554,Homewood South
HOMEWOOD AVE AT HAMILTON AVE,190.0,24.06726944228669,Homewood South
HOMEWOOD AVE AT HERMITAGE ST,140.0,0.0,Homewood North
HOMEWOOD AVE OPP FINANCE ST (EAST BUSWAY),380.0,14.208355223827777,Homewood South
HOMEWOOD AVE AT MT VERNON ST,50.0,0.0,Homewood North
HOMEWOOD AVE AT RACE ST,50.0,0.8199197375449165,Homewood North
HOMEWOOD AVE AT THOMAS BLVD,50.0,0.0,Point Breeze North
HOMEWOOD AVE AT THOMAS BLVD,50.0,0.0,Point Breeze North
IMOGENE RD AT BROWNS HILL RD FS,100.0,0.0,Hazelwood
IMOGENE RD AT BROWNS HILL RD,50.0,0.0,Squirrel Hill South
JAMES ST OPP HARPER DR,50.0,0.0,Unknown
JAMES ST AT CAROTHERS DR,100.0,0.0,Unknown
JAMES ST AT MONROEVILLE AVE,50.0,0.0,Unknown
JAMES ST AT BOONE DR,50.0,0.0,Unknown
JANCEY ST AT GREENWOOD ST,140.0,0.0,Morningside
JANCEY ST AT HAMPTON ST,50.0,0.0,Morningside
JANCEY ST AT MARTHA ST,50.0,0.0,Morningside
JANCEY ST AT WELLESLEY AVE,50.0,0.0,Morningside
JOHNSTON AVE AT SECOND AVE,290.0,5.308757920059785,Hazelwood
JOHNSTON AVE AT SECOND AVE FS,190.0,3.2876862482714997,Hazelwood
JOHNSTON AVE AT #657,100.0,0.0,Glen Hazel
JOHNSTON AVE AT #666,100.0,0.0,Glen Hazel
